category,image_id,width,height,prompt,bbox_512,num_inference_steps,guidance_scale,seed
banana,407574,765,1024,,"[61, 484, 512, 512]",24,7.997806746281609,757855135
banana,457262,612,612,,"[0, 0, 512, 512]",35,7.444671666432088,1340589947
banana,453708,1024,683,,"[325, 0, 512, 512]",47,9.238421084414568,1938609420
banana,312406,1024,768,,"[12, 140, 512, 512]",44,8.743542842645962,1786372013
banana,271471,1023,685,,"[169, 80, 512, 512]",48,9.264138661438862,2014448640
banana,163951,683,1024,,"[132, 267, 512, 512]",19,1.2392896102083748,500051954
banana,78959,615,1024,,"[103, 0, 512, 512]",13,4.935232001165579,168571695
banana,560256,1024,768,,"[73, 256, 512, 512]",17,5.364498942795593,388528798
banana,8844,1024,682,,"[512, 170, 512, 512]",42,1.5863877763309675,1701289843
banana,128658,1024,683,,"[493, 87, 512, 512]",22,1.0506344561145364,644859804
banana,378515,531,799,,"[19, 287, 512, 512]",48,8.475592932741314,2038980991
banana,581781,1024,765,,"[200, 170, 512, 512]",27,9.84972019857558,906032039
banana,189078,1000,667,,"[0, 0, 512, 512]",40,8.061488674054116,1579638338
banana,66706,612,612,,"[0, 50, 512, 512]",32,3.8404314098044585,1182859276
banana,548506,1024,680,,"[491, 0, 512, 512]",31,7.348003341305084,1131072087
banana,236721,1024,768,,"[512, 0, 512, 512]",44,3.69262965878422,1827983318
banana,389812,800,600,,"[188, 88, 512, 512]",33,7.666736345881738,1217393872
banana,66231,1024,683,,"[512, 171, 512, 512]",10,3.517724977734583,29768455
banana,509131,1024,680,,"[392, 87, 512, 512]",16,8.043318237953184,335554307
banana,13004,600,800,,"[54, 34, 512, 512]",31,9.88966672205119,1130085198
banana,535253,612,612,,"[100, 100, 512, 512]",48,9.876146943522146,2002619399
banana,479448,800,600,,"[57, 0, 512, 512]",25,8.945763102970082,807025520
banana,279769,1024,768,,"[194, 0, 512, 512]",12,9.21529046605526,126659316
banana,313562,1024,768,,"[0, 232, 512, 512]",20,7.373862226928552,544610078
banana,429281,768,1024,,"[0, 147, 512, 512]",19,5.990471895371578,502803994
banana,474854,678,1024,,"[120, 319, 512, 512]",11,9.309143872631983,78112099
banana,69356,1024,808,,"[233, 296, 512, 512]",50,1.807577018688813,2135232880
banana,112378,1024,768,,"[191, 256, 512, 512]",29,4.331183906260067,1006074700
banana,63740,1024,768,,"[319, 256, 512, 512]",32,6.453450491583366,1171239504
banana,90891,1024,689,,"[407, 177, 512, 512]",43,5.29956907226817,1754370252
banana,147740,800,600,,"[131, 0, 512, 512]",30,8.135720924475056,1084998680
banana,349480,1024,720,,"[278, 208, 512, 512]",46,2.755777541311419,1933072943
banana,499031,683,1024,,"[0, 164, 512, 512]",25,1.5602814767499709,825039645
banana,352618,1024,681,,"[0, 114, 512, 512]",27,2.138665665159264,914582800
banana,227187,1024,768,,"[58, 245, 512, 512]",11,9.665034264254464,86984129
banana,480122,1024,1024,,"[243, 393, 512, 512]",30,2.194970835064874,1058021795
banana,12667,1024,768,,"[329, 15, 512, 512]",29,3.0348849462685425,1014848104
banana,193926,799,595,,"[0, 0, 512, 512]",39,4.393507338605968,1521018998
banana,465806,1024,768,,"[91, 181, 512, 512]",28,6.610794772067163,946897390
banana,322959,612,612,,"[100, 5, 512, 512]",23,8.038865176023725,693415842
banana,293794,685,1023,,"[173, 511, 512, 512]",17,1.7078400439235306,411317620
banana,113589,1024,768,,"[512, 88, 512, 512]",40,9.381137078287315,1594737559
banana,468925,1024,768,,"[0, 183, 512, 512]",20,7.865125519139077,548344684
banana,158660,612,612,,"[0, 0, 512, 512]",10,3.888677059518759,27700026
banana,173008,1024,768,,"[199, 133, 512, 512]",46,2.7039881748540786,1901078373
baseball bat,514586,725,1024,,"[0, 0, 512, 512]",31,8.832242835730762,1145441010
baseball bat,153669,1024,683,,"[497, 0, 512, 512]",25,3.5813548817879983,821827540
baseball bat,427077,523,760,,"[11, 0, 512, 512]",26,6.428333350464056,847200043
baseball bat,284743,1024,680,,"[64, 55, 512, 512]",24,7.997806746281609,757855135
baseball bat,160864,1024,622,,"[289, 0, 512, 512]",35,7.444671666432088,1340589947
baseball bat,2153,1024,768,,"[409, 80, 512, 512]",47,9.238421084414568,1938609420
baseball bat,259690,1024,768,,"[426, 46, 512, 512]",44,8.743542842645962,1786372013
baseball bat,447088,1024,683,,"[0, 0, 512, 512]",48,9.264138661438862,2014448640
baseball bat,429690,1024,683,,"[182, 24, 512, 512]",19,1.2392896102083748,500051954
baseball bat,510095,1023,685,,"[511, 0, 512, 512]",13,4.935232001165579,168571695
baseball bat,203931,685,1023,,"[129, 0, 512, 512]",17,5.364498942795593,388528798
baseball bat,239773,1000,688,,"[195, 0, 512, 512]",42,1.5863877763309675,1701289843
baseball bat,305309,1024,649,,"[512, 0, 512, 512]",22,1.0506344561145364,644859804
baseball bat,217285,1024,683,,"[287, 38, 512, 512]",48,8.475592932741314,2038980991
baseball bat,370375,683,1024,,"[0, 143, 512, 512]",27,9.84972019857558,906032039
baseball bat,462031,719,1024,,"[207, 52, 512, 512]",40,8.061488674054116,1579638338
baseball bat,89296,1024,681,,"[340, 0, 512, 512]",32,3.8404314098044585,1182859276
baseball bat,136915,1024,683,,"[107, 171, 512, 512]",31,7.348003341305084,1131072087
baseball bat,447187,1024,768,,"[0, 0, 512, 512]",44,3.69262965878422,1827983318
baseball bat,464089,1024,768,,"[338, 0, 512, 512]",33,7.666736345881738,1217393872
baseball bat,311002,1024,683,,"[0, 82, 512, 512]",10,3.517724977734583,29768455
baseball bat,279774,850,1024,,"[229, 343, 512, 512]",16,8.043318237953184,335554307
baseball bat,474344,1024,683,,"[129, 0, 512, 512]",31,9.88966672205119,1130085198
baseball bat,128748,785,1024,,"[249, 512, 512, 512]",48,9.876146943522146,2002619399
baseball bat,427256,1024,819,,"[47, 0, 512, 512]",25,8.945763102970082,807025520
baseball bat,182021,1024,576,,"[0, 0, 512, 512]",12,9.21529046605526,126659316
baseball bat,264968,667,1000,,"[155, 148, 512, 512]",20,7.373862226928552,544610078
baseball bat,501005,1024,633,,"[0, 0, 512, 512]",19,5.990471895371578,502803994
baseball bat,126226,1024,768,,"[496, 0, 512, 512]",11,9.309143872631983,78112099
baseball bat,304404,1023,685,,"[187, 0, 512, 512]",50,1.807577018688813,2135232880
baseball bat,43816,1024,681,,"[340, 70, 512, 512]",29,4.331183906260067,1006074700
baseball bat,54593,1024,683,,"[356, 0, 512, 512]",32,6.453450491583366,1171239504
baseball bat,6471,1000,665,,"[409, 0, 512, 512]",43,5.29956907226817,1754370252
baseball bat,123213,1024,627,,"[147, 0, 512, 512]",30,8.135720924475056,1084998680
baseball bat,506707,1024,683,,"[340, 171, 512, 512]",46,2.755777541311419,1933072943
baseball bat,507223,768,1024,,"[65, 223, 512, 512]",25,1.5602814767499709,825039645
baseball bat,262487,1024,768,,"[133, 0, 512, 512]",27,2.138665665159264,914582800
baseball bat,57232,612,612,,"[100, 39, 512, 512]",11,9.665034264254464,86984129
baseball bat,86956,768,1024,,"[62, 100, 512, 512]",30,2.194970835064874,1058021795
baseball bat,248752,1024,768,,"[339, 0, 512, 512]",29,3.0348849462685425,1014848104
baseball bat,357816,1024,932,,"[378, 174, 512, 512]",39,4.393507338605968,1521018998
baseball bat,559547,1023,786,,"[58, 274, 512, 512]",28,6.610794772067163,946897390
baseball bat,404923,1024,768,,"[149, 0, 512, 512]",23,8.038865176023725,693415842
baseball bat,132544,1024,683,,"[436, 77, 512, 512]",17,1.7078400439235306,411317620
baseball bat,491464,1023,685,,"[179, 39, 512, 512]",40,9.381137078287315,1594737559
baseball bat,388056,900,597,,"[0, 0, 512, 512]",20,7.865125519139077,548344684
baseball bat,33759,1023,731,,"[0, 72, 512, 512]",10,3.888677059518759,27700026
baseball bat,320490,1024,682,,"[512, 170, 512, 512]",46,2.7039881748540786,1901078373
baseball bat,415727,1024,768,,"[512, 214, 512, 512]",33,6.363575990083298,1245682962
baseball bat,223738,750,757,,"[47, 73, 512, 512]",12,6.352203040853406,143465762
bench,173057,768,1024,,"[149, 512, 512, 512]",31,8.832242835730762,1145441010
bench,84492,567,851,,"[55, 339, 512, 512]",25,3.5813548817879983,821827540
bench,133645,1024,683,,"[469, 171, 512, 512]",26,6.428333350464056,847200043
bench,534041,1024,768,,"[512, 39, 512, 512]",24,7.997806746281609,757855135
bench,17436,770,1023,,"[0, 511, 512, 512]",35,7.444671666432088,1340589947
bench,434204,1024,683,,"[468, 0, 512, 512]",47,9.238421084414568,1938609420
bench,137246,1023,682,,"[0, 170, 512, 512]",44,8.743542842645962,1786372013
bench,261161,1024,682,,"[0, 151, 512, 512]",48,9.264138661438862,2014448640
bench,572462,612,612,,"[100, 100, 512, 512]",19,1.2392896102083748,500051954
bench,379441,1024,768,,"[0, 256, 512, 512]",13,4.935232001165579,168571695
bench,322610,1024,768,,"[512, 256, 512, 512]",17,5.364498942795593,388528798
bench,559160,686,1024,,"[0, 184, 512, 512]",42,1.5863877763309675,1701289843
bench,227898,1023,678,,"[0, 166, 512, 512]",22,1.0506344561145364,644859804
bench,537153,1023,634,,"[435, 122, 512, 512]",48,8.475592932741314,2038980991
bench,153669,1024,683,,"[135, 171, 512, 512]",27,9.84972019857558,906032039
bench,121417,768,1024,,"[256, 475, 512, 512]",40,8.061488674054116,1579638338
bench,301135,684,1024,,"[172, 512, 512, 512]",32,3.8404314098044585,1182859276
bench,419408,1024,686,,"[512, 174, 512, 512]",31,7.348003341305084,1131072087
bench,372819,1024,681,,"[512, 0, 512, 512]",44,3.69262965878422,1827983318
bench,506454,1024,768,,"[272, 96, 512, 512]",33,7.666736345881738,1217393872
bench,232538,1024,768,,"[512, 256, 512, 512]",10,3.517724977734583,29768455
bench,364636,1024,852,,"[512, 0, 512, 512]",16,8.043318237953184,335554307
bench,89697,1023,687,,"[0, 175, 512, 512]",31,9.88966672205119,1130085198
bench,511076,1024,683,,"[512, 171, 512, 512]",48,9.876146943522146,2002619399
bench,87144,1024,768,,"[0, 159, 512, 512]",25,8.945763102970082,807025520
bench,279145,1024,768,,"[273, 167, 512, 512]",12,9.21529046605526,126659316
bench,111207,765,1024,,"[241, 48, 512, 512]",20,7.373862226928552,544610078
bench,259690,1024,768,,"[0, 31, 512, 512]",19,5.990471895371578,502803994
bench,70254,1024,615,,"[0, 103, 512, 512]",11,9.309143872631983,78112099
bench,481390,1024,768,,"[154, 0, 512, 512]",50,1.807577018688813,2135232880
bench,429690,1024,683,,"[512, 66, 512, 512]",29,4.331183906260067,1006074700
bench,333956,685,1023,,"[0, 511, 512, 512]",32,6.453450491583366,1171239504
bench,419974,681,1024,,"[0, 197, 512, 512]",43,5.29956907226817,1754370252
bench,227478,1024,768,,"[143, 0, 512, 512]",30,8.135720924475056,1084998680
bench,203931,685,1023,,"[0, 418, 512, 512]",46,2.755777541311419,1933072943
bench,388258,1024,765,,"[0, 241, 512, 512]",25,1.5602814767499709,825039645
bench,121506,612,612,,"[0, 100, 512, 512]",27,2.138665665159264,914582800
bench,314541,1024,680,,"[297, 168, 512, 512]",11,9.665034264254464,86984129
bench,527528,1024,768,,"[476, 256, 512, 512]",30,2.194970835064874,1058021795
bench,61108,1024,768,,"[0, 105, 512, 512]",29,3.0348849462685425,1014848104
bench,132796,1024,681,,"[512, 74, 512, 512]",39,4.393507338605968,1521018998
bench,97988,612,612,,"[100, 86, 512, 512]",28,6.610794772067163,946897390
bench,327890,1024,768,,"[162, 256, 512, 512]",23,8.038865176023725,693415842
bench,542423,1024,680,,"[434, 168, 512, 512]",17,1.7078400439235306,411317620
bench,426203,567,851,,"[55, 339, 512, 512]",40,9.381137078287315,1594737559
bench,413404,1024,683,,"[153, 171, 512, 512]",20,7.865125519139077,548344684
bench,13546,1024,680,,"[147, 0, 512, 512]",10,3.888677059518759,27700026
bench,11511,1023,743,,"[26, 231, 512, 512]",46,2.7039881748540786,1901078373
bench,428280,1024,681,,"[0, 169, 512, 512]",33,6.363575990083298,1245682962
bench,222458,1024,679,,"[512, 167, 512, 512]",12,6.352203040853406,143465762
bicycle,184324,1024,680,,"[512, 168, 512, 512]",31,8.832242835730762,1145441010
bicycle,169996,1024,768,,"[73, 256, 512, 512]",25,3.5813548817879983,821827540
bicycle,277005,1024,682,,"[0, 170, 512, 512]",26,6.428333350464056,847200043
bicycle,8211,1024,734,,"[274, 102, 512, 512]",24,7.997806746281609,757855135
bicycle,468505,1024,768,,"[393, 0, 512, 512]",35,7.444671666432088,1340589947
bicycle,473118,692,1000,,"[0, 0, 512, 512]",47,9.238421084414568,1938609420
bicycle,476704,1023,685,,"[511, 173, 512, 512]",44,8.743542842645962,1786372013
bicycle,356387,994,666,,"[16, 154, 512, 512]",48,9.264138661438862,2014448640
bicycle,492077,1024,768,,"[108, 256, 512, 512]",19,1.2392896102083748,500051954
bicycle,439854,1000,666,,"[259, 154, 512, 512]",13,4.935232001165579,168571695
bicycle,472623,680,1024,,"[168, 504, 512, 512]",17,5.364498942795593,388528798
bicycle,259640,1024,683,,"[512, 171, 512, 512]",42,1.5863877763309675,1701289843
bicycle,157756,768,1024,,"[155, 512, 512, 512]",22,1.0506344561145364,644859804
bicycle,167486,1024,768,,"[230, 256, 512, 512]",48,8.475592932741314,2038980991
bicycle,289343,846,1024,,"[112, 352, 512, 512]",27,9.84972019857558,906032039
bicycle,227399,1024,771,,"[0, 259, 512, 512]",40,8.061488674054116,1579638338
bicycle,301135,684,1024,,"[0, 357, 512, 512]",32,3.8404314098044585,1182859276
bicycle,428111,1024,686,,"[291, 174, 512, 512]",31,7.348003341305084,1131072087
bicycle,403565,715,1024,,"[61, 424, 512, 512]",44,3.69262965878422,1827983318
bicycle,242287,681,1024,,"[26, 512, 512, 512]",33,7.666736345881738,1217393872
bicycle,226417,800,533,,"[288, 21, 512, 512]",10,3.517724977734583,29768455
bicycle,70774,903,600,,"[285, 24, 512, 512]",16,8.043318237953184,335554307
bicycle,319607,1024,1024,,"[120, 512, 512, 512]",31,9.88966672205119,1130085198
bicycle,10363,1024,577,,"[512, 0, 512, 512]",48,9.876146943522146,2002619399
bicycle,125572,1024,683,,"[406, 171, 512, 512]",25,8.945763102970082,807025520
bicycle,488592,768,1024,,"[221, 512, 512, 512]",12,9.21529046605526,126659316
bicycle,40083,800,533,,"[247, 21, 512, 512]",20,7.373862226928552,544610078
bicycle,72852,679,1023,,"[83, 511, 512, 512]",19,5.990471895371578,502803994
bicycle,378515,531,799,,"[19, 0, 512, 512]",11,9.309143872631983,78112099
bicycle,470173,713,1024,,"[163, 58, 512, 512]",50,1.807577018688813,2135232880
bicycle,266400,1024,633,,"[0, 0, 512, 512]",29,4.331183906260067,1006074700
bicycle,573094,600,800,,"[88, 288, 512, 512]",32,6.453450491583366,1171239504
bicycle,426166,1024,681,,"[113, 169, 512, 512]",43,5.29956907226817,1754370252
bicycle,531134,1024,768,,"[512, 256, 512, 512]",30,8.135720924475056,1084998680
bicycle,152771,1024,767,,"[371, 255, 512, 512]",46,2.755777541311419,1933072943
bicycle,97988,612,612,,"[0, 100, 512, 512]",25,1.5602814767499709,825039645
bicycle,8899,1024,862,,"[0, 350, 512, 512]",27,2.138665665159264,914582800
bicycle,296649,1024,683,,"[175, 171, 512, 512]",11,9.665034264254464,86984129
bicycle,107226,768,1024,,"[256, 339, 512, 512]",30,2.194970835064874,1058021795
bicycle,424162,1023,819,,"[326, 307, 512, 512]",29,3.0348849462685425,1014848104
bicycle,196843,1024,768,,"[512, 256, 512, 512]",39,4.393507338605968,1521018998
bicycle,15597,541,800,,"[29, 288, 512, 512]",28,6.610794772067163,946897390
bicycle,279278,1023,687,,"[511, 0, 512, 512]",23,8.038865176023725,693415842
bicycle,441586,1024,680,,"[0, 94, 512, 512]",17,1.7078400439235306,411317620
bicycle,135410,768,1024,,"[0, 512, 512, 512]",40,9.381137078287315,1594737559
bicycle,259830,680,1024,,"[168, 512, 512, 512]",20,7.865125519139077,548344684
bicycle,261888,1023,682,,"[437, 170, 512, 512]",10,3.888677059518759,27700026
bicycle,356612,1024,665,,"[512, 153, 512, 512]",46,2.7039881748540786,1901078373
bicycle,394510,1024,768,,"[512, 0, 512, 512]",33,6.363575990083298,1245682962
bicycle,164115,1024,1023,,"[1, 317, 512, 512]",12,6.352203040853406,143465762
bird,55299,1024,686,,"[469, 174, 512, 512]",31,8.832242835730762,1145441010
bird,523811,1024,768,,"[0, 131, 512, 512]",25,3.5813548817879983,821827540
bird,32811,768,1024,,"[0, 512, 512, 512]",26,6.428333350464056,847200043
bird,544811,1023,687,,"[346, 175, 512, 512]",24,7.997806746281609,757855135
bird,186422,1024,683,,"[512, 171, 512, 512]",35,7.444671666432088,1340589947
bird,277051,1024,683,,"[298, 143, 512, 512]",47,9.238421084414568,1938609420
bird,489046,1023,683,,"[452, 125, 512, 512]",44,8.743542842645962,1786372013
bird,402519,1024,683,,"[256, 171, 512, 512]",48,9.264138661438862,2014448640
bird,404568,1024,768,,"[137, 244, 512, 512]",19,1.2392896102083748,500051954
bird,31322,1024,683,,"[448, 144, 512, 512]",13,4.935232001165579,168571695
bird,285788,1023,769,,"[429, 205, 512, 512]",17,5.364498942795593,388528798
bird,511076,1024,683,,"[203, 171, 512, 512]",42,1.5863877763309675,1701289843
bird,494188,768,1024,,"[148, 512, 512, 512]",22,1.0506344561145364,644859804
bird,229997,1024,683,,"[6, 0, 512, 512]",48,8.475592932741314,2038980991
bird,210032,1023,642,,"[511, 43, 512, 512]",27,9.84972019857558,906032039
bird,289393,1024,768,,"[512, 256, 512, 512]",40,8.061488674054116,1579638338
bird,149622,1024,724,,"[100, 130, 512, 512]",32,3.8404314098044585,1182859276
bird,284279,1024,819,,"[489, 193, 512, 512]",31,7.348003341305084,1131072087
bird,300155,1024,683,,"[332, 147, 512, 512]",44,3.69262965878422,1827983318
bird,100489,767,1024,,"[56, 93, 512, 512]",33,7.666736345881738,1217393872
bird,490125,1024,686,,"[0, 167, 512, 512]",10,3.517724977734583,29768455
bird,418959,1024,683,,"[217, 27, 512, 512]",16,8.043318237953184,335554307
bird,216739,1024,683,,"[0, 171, 512, 512]",31,9.88966672205119,1130085198
bird,508602,1024,880,,"[201, 90, 512, 512]",48,9.876146943522146,2002619399
bird,578236,686,1024,,"[174, 32, 512, 512]",25,8.945763102970082,807025520
bird,123585,768,1024,,"[161, 217, 512, 512]",12,9.21529046605526,126659316
bird,357060,1024,680,,"[208, 65, 512, 512]",20,7.373862226928552,544610078
bird,176847,1024,768,,"[355, 205, 512, 512]",19,5.990471895371578,502803994
bird,324818,1023,682,,"[476, 158, 512, 512]",11,9.309143872631983,78112099
bird,505565,1023,678,,"[357, 99, 512, 512]",50,1.807577018688813,2135232880
bird,335081,1024,683,,"[446, 98, 512, 512]",29,4.331183906260067,1006074700
bird,459500,768,1024,,"[115, 252, 512, 512]",32,6.453450491583366,1171239504
bird,197870,1024,680,,"[0, 168, 512, 512]",43,5.29956907226817,1754370252
bird,1268,1024,683,,"[112, 130, 512, 512]",30,8.135720924475056,1084998680
bird,463618,1023,722,,"[0, 109, 512, 512]",46,2.755777541311419,1933072943
bird,368900,1024,768,,"[171, 0, 512, 512]",25,1.5602814767499709,825039645
bird,82696,683,1024,,"[19, 393, 512, 512]",27,2.138665665159264,914582800
bird,65288,1024,683,,"[202, 103, 512, 512]",11,9.665034264254464,86984129
bird,407825,563,564,,"[0, 0, 512, 512]",30,2.194970835064874,1058021795
bird,509719,1024,683,,"[292, 146, 512, 512]",29,3.0348849462685425,1014848104
bird,46378,1024,576,,"[374, 64, 512, 512]",39,4.393507338605968,1521018998
bird,519491,768,1024,,"[139, 125, 512, 512]",28,6.610794772067163,946897390
bird,221017,1024,768,,"[288, 256, 512, 512]",23,8.038865176023725,693415842
bird,250205,1024,731,,"[206, 106, 512, 512]",17,1.7078400439235306,411317620
bird,166259,1024,683,,"[175, 137, 512, 512]",40,9.381137078287315,1594737559
bird,227187,1024,768,,"[0, 97, 512, 512]",20,7.865125519139077,548344684
bird,464251,1024,732,,"[72, 204, 512, 512]",10,3.888677059518759,27700026
bird,460160,1024,768,,"[268, 172, 512, 512]",46,2.7039881748540786,1901078373
bird,106881,1024,852,,"[128, 256, 512, 512]",33,6.363575990083298,1245682962
bird,60823,1024,768,,"[376, 256, 512, 512]",12,6.352203040853406,143465762
book,25603,1024,768,,"[512, 256, 512, 512]",31,8.832242835730762,1145441010
book,547336,1024,768,,"[60, 127, 512, 512]",25,3.5813548817879983,821827540
